Date Range,Clicks,Impressions,CTR,Position
2026-06-07 - 2026-06-30,0,179,0%,
2026-07-01 - 2026-07-31,3,256,1.17%,
2026-08-01 - 2026-08-31,1,384,0.26%,58.2
2026-09-01 - 2026-09-06,0,82,0%,28.2
